Major group,Sub-major group,Minor Group,"Energy, with dietary fibre (kJ)",Protein (g),Total fat (g),Starch (g),Total sugars (g),Dietary fibre (g),Vitamin A retinol equivalents (µg),Vitamin B1 (Thiamin) (mg),Vitamin B2 (Riboflavin) (mg),Vitamin B3 (Niacin) (mg),Total Folates (µg),Vitamin B6 (mg),Vitamin B12 (µg),Vitamin C (mg),Vitamin E (mg),Calcium (Ca) (mg),Iodine (I) (µg),Iron (Fe) (mg),Magnesium (Mg) (mg),Phosphorus (P) (mg),Potassium (K) (mg),Selenium (Se) (µg),Sodium (Na) (mg),Zinc (Zn) (mg),Total saturated fat (g),Total monounsaturated fat (g),Total polyunsaturated fat (g),Linoleic acid (g),Alpha-linolenic acid (g),Total long chain omega 3 fatty acids (mg),Total trans fatty acids (mg)
Fats and oils,Butters,Butter,2901.333333,1.1,77.9,0,0,0,858,0,0.05,1.1,6,0,0,0,1.96,17,8.8,0.01,2,16,23,1.3,466.5,0.06,51.22333333,15.39833333,1.428333333,0.96,0.363333333,88.336,4593.475
Fats and oils,Butters,Butter products,3208.5,0.9,85.95,0.3,0.1,0.7,713,0.006,0.0315,0.495,3.5,0.05,0,2,2.105,14,8.25,0.205,2.5,12,45,1.75,305,0.085,55.395,19.055,1.93,1.26,0.555,85.0995,4972.72
Fats and oils,Dairy blends,"Dairy blend, reduced fat, fat content <65 g/100g",1686.857143,0.514285714,43.72857143,0,0.6,0,877.8571429,0,0.05,0.147142857,0.142857143,0,0.1,0,9.35,20,3.628571429,0,2,19,32.85714286,0.5,382.2857143,0,18.84142857,16.75857143,5.707142857,3.687142857,1.741428571,10.75457143,1341.105714
Fats and oils,Dairy blends,"Dairy blend, regular, fat content ? 65g/100g",2875.4,0.54,77.2,0,0.58,0,877.4,0,0.05,0.16,0.2,0,0.1,0,9.26,20,3.7,0,2,19,32.8,0.52,404.8,0.002,33.466,29.412,9.972,6.448,3.04,19.8004,2393.614
Fats and oils,Dairy blends,"Dairy fats, unspecified type",2799,0.8,75.15,0,0.35,0,869,0,0.05,0.57,2.5,0,0.05,0,6.05,18.5,5.95,0,2,18,28.5,0.85,562,0.025,40.585,22.07,5.74,3.73,1.715,50.6405,3329.08
Fats and oils,Margarine and table spreads,Cooking margarine,2983,0.6,80,0,0.8,0,875,0,0,0.2,0,0,0,0,4.4,11,0.5,0,2,17,33,0.5,1130,0,35.49,34.57,6.42,5.74,0.69,0,451.23
Fats and oils,Margarine and table spreads,Margarine spreads with added phytosterols,1719.714286,0.871428571,46.08571429,0,0,0,848,0,0,0,5,0,0,0,8.422857143,3,2,0.01,1,4,29.85714286,0.5,356.8571429,0.04,9.087142857,15.62571429,12.88,10.37428571,2.384285714,0,184.4228571
Fats and oils,Margarine and table spreads,"Monounsaturated margarine spreads, fat content ?65 g/100g",2554.5,0.6625,68.7375,0,0,0,728.875,0,0,0.025,4.125,0,0,0,10.4375,3.75,3.3,0.00625,0.875,4.875,20.625,0.4875,408.875,0.035,16.13875,31.04,18.36375,13.63,4.63375,0,523.5225
Fats and oils,Margarine and table spreads,"Monounsaturated margarine spreads,fat content <65 g/100g",1813.777778,0.866666667,48.62222222,0,0,0,848,0,0,0,5,0,0,0,3.72,3,2.911111111,0.01,1,4,47,0.488888889,366.6666667,0.04,11.11111111,23.57333333,11.34666667,7.883333333,3.343333333,0,395.5244444
Fats and oils,Margarine and table spreads,"Polyunsaturated margarine spreads, fat content ? 65g/100g",2565.6,0.38,69.18,0,0,0,830.6,0,0,0.064,3,0,0,0,22.888,3.2,1.44,0.004,0.8,4.4,16.2,0.5,390,0.02,14.224,19.206,32.124,30.508,1.258,0,181.646
Fats and oils,Margarine and table spreads,"Polyunsaturated margarine spreads, fat content <65 g/100g",1689.142857,0.542857143,45.4,0,0,0,877,0,0,0.09,2.714285714,0,0,0,15.89714286,1.714285714,0.5,0.005714286,0.571428571,3.142857143,21.28571429,0.5,364,0.021428571,8.792857143,11.59142857,21.68142857,20.93571429,0.614285714,0,125.89
Fats and oils,Margarine and table spreads,Unspecified margarine spread,2193,0.7,58.95454545,0,0,0,805.6363636,0,0,0.012727273,4.363636364,0,0,0,12.02636364,4.090909091,2.845454545,0.008181818,1,5.090909091,31.36363636,0.5,446.5454545,0.030909091,12.99545455,24.16363636,18.30454545,14.95363636,3.152727273,0,359.8272727
Fats and oils,Other fats,Animal-based solid fats,3626,0.15,96.675,2.75,0,0,43.25,0,0.005,0.025,0,0.0075,0.075,0,0.95,0,0.5,0,0,0,0,0.75,0,0.005,49.9375,36.08,2.4525,1.7675,0.6825,0,4224.325
Fats and oils,Other fats,Other fats or oils,3341.5,0.4,89.95,0,0.4,0,437.5,0,0,0.3,0,0,0,0,5.7,5.5,0.5,0,1,8.5,16.5,0.6,535,0,42.04,36.61,4.475,4.11,0.345,23.876,3148.015
Fats and oils,Other fats,Vegetable-based solid fats,3577,0.1,96.63333333,0,0,0,20.66666667,0,0,0.153333333,0,0,0,0,6.203333333,0.166666667,0.1,0,0,0,0.333333333,0.166666667,233.6666667,0.006666667,54.02666667,26.915,8.903333333,7.208333333,1.653333333,0,2228.878333
Fats and oils,Plant oils,Monounsaturated oils,3699.777778,0,100,0,0,0,0.555555556,0,0,0,0,0,0,0,19.47666667,0.222222222,0,0.013333333,0.111111111,0.444444444,0,0,0,0.022222222,13.08111111,59.35111111,22.81,18.93777778,3.816666667,0,1182.662222
Fats and oils,Plant oils,Polyunsaturated oils,3700,0,100,0,0,0,0,0,0,0,0,0,0,0,22.342,0,0,0.003,0,0,0,0,0,0.006,13.522,23.967,57.556,49.864,7.604,0,2232.26
Fats and oils,Plant oils,Unspecified vegetable/nut oils,3700,0,100,0,0,0,0.5,0,0,0,0,0,0,0,24.88,0,0,0.005,0,0,0,0,0,0.02,11.135,48.46,35,29.41,5.395,0,1225.59
Fats and oils,Unspecified fats,Unspecified dairy-based fat or margarine used as a spread,2482.333333,0.766666667,66.7,0,0.033333333,0,821.3333333,0,0.015,0.263333333,4.666666667,0,0,0,9.18,8.333333333,4.266666667,0.01,1,8.333333333,26.66666667,0.7,504,0.036666667,23.73666667,23.77333333,14.24,11.34666667,2.706666667,21.63833333,1502.23
Fats and oils,Unspecified fats,Unspecified fats or oil used in cooking,3315.25,0.425,89.3875,0,0.025,0,381.75,0,0.016,0.31375,2.25,0,0,0,15.39125,6.125,3.0875,0.00625,0.875,6.375,10.875,0.4625,267.375,0.02875,25.76625,37.8775,19.33125,16.52875,2.65875,27.6175,2103.01625
Fish and seafood products and dishes,Crustacea and molluscs (excluding commercially sterile),"Crustacea, fresh, frozen",406.0833333,21.575,1.075,0,0,0,3.083333333,0.01,0.062333333,1.895833333,16.16666667,0.259166667,0.966666667,0.666666667,1.085833333,91.91666667,47.13333333,0.708333333,46.08333333,159.1666667,264.6666667,41.05,411.6666667,2.796666667,0.208333333,0.2775,0.246666667,0.051666667,0.008333333,136.4296667,11.5325
Fish and seafood products and dishes,Crustacea and molluscs (excluding commercially sterile),"Molluscs, fresh, frozen",398.0625,16.50625,2.5,0.0875,0.225,0.05,27.875,0.0290625,0.1441875,1.711875,23.5625,0.150625,8.675,2.25,1.30125,61.625,104.875,2.79125,46.6875,253.6875,235.8125,55.2375,319.5625,7.84,0.501875,0.68,0.633125,0.1675,0.038125,377.37275,24.81375
Fish and seafood products and dishes,Fin fish (excluding commercially sterile),"Fin fish, fresh, frozen",663.704918,23.53360656,7.1,0.02704918,0.023770492,0.005737705,18.45081967,0.08242623,0.098262295,4.359672131,3.221311475,0.351065574,1.769672131,0.516393443,1.472622951,41.75409836,36.49918033,0.739344262,35.06557377,280.4016393,422.352459,45.50081967,108.4180328,0.653770492,1.723032787,2.951065574,1.568278689,0.620655738,0.13557377,700.3124344,93.60844262
Fish and seafood products and dishes,Fin fish (excluding commercially sterile),Smoked fish,527,22.425,3.95,0,0,0,11.5,0.1075,0.155,2.4,1.75,0.2,1.35,1,0.27,21.25,22.075,0.5875,27.5,273.75,279,32.975,1008,0.4625,0.925,1.345,1.165,0.455,0.1125,554.3575,51.045
Fish and seafood products and dishes,Fish and seafood products (homemade and takeaway),"Crustacea, battered or crumbed",906,16.78,10.62,12.7,0.4,0.76,3.4,0.0638,0.0702,2.028,21,0.2,0.82,0.6,2.558,81.2,41.24,0.96,37.6,192,202.8,34.5,586.2,2.216,2.186,5.06,2.638,2.19,0.286,120.826,120.716
Fish and seafood products and dishes,Fish and seafood products (homemade and takeaway),"Fin fish, battered or crumbed",975.5116279,18.26744186,13.41627907,9.186046512,0.523255814,0.569767442,10.27906977,0.081906977,0.072744186,3.242790698,21.90697674,0.226744186,1.246511628,0.395348837,2.736511628,33.02325581,35.82325581,0.643255814,30.81395349,222.0697674,337.3953488,34.58372093,302.6511628,0.539069767,2.232325581,6.1,4.067674419,3.033255814,0.57,391.2445814,169.7734884
Fish and seafood products and dishes,Fish and seafood products (homemade and takeaway),Fish and seafood products,757.1875,16.46875,6.7125,8.2875,5.00625,0.86875,21.875,0.057,0.10725,2.664375,11.8125,0.193125,1.1,1.75,1.718125,105.9375,63.1375,1.72625,34.0625,217.1875,311.0625,34.95625,1029.6875,0.71875,1.490625,2.733125,1.886875,1.393125,0.16625,257.4658125,102.508125
Fish and seafood products and dishes,Fish and seafood products (homemade and takeaway),"Molluscs, battered or crumbed",911.75,14.0375,13.175,10.05,0.3375,0.6375,11.625,0.090875,0.07725,1.3725,17.25,0.085,2.4375,0.875,3.38125,22.875,47.5125,1.38125,32.625,218.125,177.25,33.85,431,1.33,1.9225,5.64625,4.6025,3.535,0.70375,263.48925,191.13875
Fish and seafood products and dishes,Mixed dishes with fish or seafood as the major component,Mixed dishes with fish as the major component,577.6428571,13.65714286,7.371428571,1.421428571,2.235714286,1.342857143,96,0.056714286,0.073857143,2.67,17.57142857,0.172142857,0.857142857,6.714285714,1.162857143,44.14285714,17.75714286,0.712142857,24,154.5,311.2857143,23,222.1428571,0.546428571,2.844285714,2.780714286,1.062857143,0.707142857,0.121428571,196.5028571,105.1757143
Fish and seafood products and dishes,Mixed dishes with fish or seafood as the major component,"Mixed dishes with fish as the major component, with rice, pasta or noodles",677.1111111,9.588888889,6.2,14.14444444,2.022222222,1.277777778,48,0.054,0.077555556,2.004444444,13.33333333,0.105555556,0.533333333,3.111111111,1.927777778,43.88888889,10.21111111,0.572222222,18.55555556,113.2222222,175.6666667,16.85555556,194.8888889,0.575555556,1.715555556,2.184444444,1.814444444,1.546666667,0.09,153.9598889,102.3411111
Fish and seafood products and dishes,Mixed dishes with fish or seafood as the major component,"Mixed seafood dishes with crustacea, molluscs or other seafood products as the major component",587.3333333,11.84666667,7.88,1.246666667,3.466666667,1.6,71.6,0.043333333,0.066133333,1.399333333,22.06666667,0.180666667,0.933333333,8.133333333,2.242,66.2,22.52666667,0.968,34.86666667,131.2,237.4,29.69333333,453,1.078666667,1.882666667,3.584,1.749333333,1.414,0.180666667,134.9388,51.45066667
Fish and seafood products and dishes,Mixed dishes with fish or seafood as the major component,"Mixed seafood dishes with crustacea, molluscs or other seafood products as the major component, with rice, pasta or noodles",565.6,8.3,3.34,15.02,1.92,1.52,71.8,0.0322,0.0422,1.042,19.2,0.124,0.3,7,1.138,40.4,10.06,0.576,25.8,86.4,169.8,15.92,345,0.762,0.672,1.616,0.666,0.504,0.1,47.692,19.312
Fish and seafood products and dishes,Other sea and freshwater foods,Eel,1163,21.06666667,21.76666667,0,0,0,1269.666667,0.228333333,0.308,2.896666667,13.66666667,0.203333333,1.866666667,1,5.303333333,22.33333333,53.46666667,2.433333333,22.66666667,333.6666667,305.3333333,16.86666667,95,2.81,6.253333333,8.233333333,5.153333333,1.23,2.273333333,1147.813333,9.91
Fish and seafood products and dishes,Other sea and freshwater foods,Fish roe,508.5,15.05,6.8,0,0,0,34.5,0.055,0.165,0.05,36,0.32,20,1,7,19.5,27,0.7,15,365,74,65.5,1989.5,1.25,1.6,1.78,2.75,0.45,0.105,2155.5,121.785
Fish and seafood products and dishes,Other sea and freshwater foods,Mixtures of finfish and/or shellfish,660.4,23.82,5.34,2.56,0.26,0.26,28.4,0.0462,0.111,4.114,22,0.278,1.64,2.6,2.024,47.2,31.86,1.286,43.2,222.2,343,40.82,250.2,0.908,1.046,2.236,1.386,0.568,0.15,585.6642,62.346
Fish and seafood products and dishes,Packed (commercially sterile) fish and seafood,Packed crustacea and molluscs,630,16.43333333,7.633333333,0,0.366666667,0,77,0.013333333,0.313333333,1.733333333,11,0.093333333,14.1,0,1.226666667,77.66666667,129.5333333,10.26666667,65.66666667,142,157.3333333,58.46666667,505.3333333,6.683333333,2.103333333,1.263333333,3.843333333,2.96,0.056666667,766.7793333,143.1466667
Fish and seafood products and dishes,Packed (commercially sterile) fish and seafood,Packed fin fish,726.2727273,21.35,9.354545455,0.131818182,0.913636364,0.027272727,29.36363636,0.024272727,0.185090909,6.010454545,19.54545455,0.22,2.25,0.045454545,1.486818182,186.1363636,31.78636364,1.302272727,31.59090909,294.6363636,266.7727273,45.65909091,587.5,1.167272727,2.099090909,3.486818182,2.949545455,1.410454545,0.216363636,1261.590955,113.3781818
Fish and seafood products and dishes,Wild caught fish and seafood (NATSINPAS),Wild caught crustacea and molluscs,340.5,13.05,2.4,0.45,0.15,0,35,0,0.295,1.71,33,0.11,14.15,2,0.98,134,168.25,3.83,57.5,318.5,216,72.9,351,36.82,0.62,0.175,0.655,0.04,0.04,509.1535,27.905
Fish and seafood products and dishes,Wild caught fish and seafood (NATSINPAS),Wild caught finfish,615,35.9,0.1,0,0,0,1,0,0.078,8.33,0,0.2,0.9,1,0.66,10,13,0.41,37,262,540,35.6,123,0.41,0.04,0.01,0.04,0,0,35.479,1.91
Fruit products and dishes,Berry fruit,Berry fruit,174.9166667,0.966666667,0.183333333,0.166666667,6.75,3.65,14.08333333,0.020333333,0.03775,0.198333333,25,0.030833333,0,24.75,0.75,17.41666667,0.466666667,0.374166667,13.16666667,24.58333333,132.3333333,0.95,1.666666667,0.1875,0.0125,0.008333333,0.0225,0.01,0.010833333,0,0
Fruit products and dishes,Berry fruit,"Berry fruit, commercially sterile",321.2,0.55,0.1,0.15,17.44,2.35,1.3,0,0,0,13.5,0.03,0,6.6,0.259,10.6,0.5,1.144,6.4,12.6,73.1,0.7,5.7,0.066,0,0,0,0,0,0,0
Fruit products and dishes,Citrus fruit,"Citrus fruit, commercially sterile",235,0.4,0.1,0.1,12.95,0.6,11.5,0.001,0.00325,0.055,0.25,0.0475,0,10.25,0.005,7.25,0.5,0.355,6,8,82.5,0.5,5.25,0.1,0,0,0,0,0,0,0
Fruit products and dishes,Citrus fruit,Lemons and limes,123.75,0.75,0.85,0,0.85,5.2,4.25,0.0325,0.03,0.25,94.75,0.1025,0,142.75,0.205,52,0.5,0.35,11.25,13.5,128.25,0.5,3.75,0.1125,0.2725,0.1175,0.1475,0.1375,0.01,0,0
Fruit products and dishes,Citrus fruit,Oranges,182.25,1.025,0.1,0,8.275,2.6,12.5,0.1,0.03275,0.2075,36.5,0.03,0,53.25,0.3325,28.75,0.3,0.395,11.25,20.5,151.75,0.5,2.5,0.1775,0,0,0,0,0,0,0
Fruit products and dishes,Citrus fruit,Other citrus fruit,181.6,1.04,0.32,0,7.58,2.58,21,0.0474,0.04,0.286,13,0.036,0,40.4,0.212,31.6,0.46,0.392,12,18.6,145.2,0.5,4.6,0.154,0.032,0.05,0.056,0.056,0,0,0
Fruit products and dishes,"Dried fruit, preserved fruit",Dried fruit and nut mixes,1875,10.075,26.975,3.075,36.8,6.525,39.75,0.31725,0.1665,2.425,30.75,0.2725,0,0.75,6.5,91.5,1.3,2.945,139.25,286,728,83.25,16,2.2,3.67,12.665,9.36,8.6975,0.6575,0,121.36
Fruit products and dishes,"Dried fruit, preserved fruit",Dried vine fruit,1235.333333,2.966666667,0.633333333,1.833333333,67.76666667,4.4,3.666666667,0.19,0.013333333,0.533333333,5.666666667,0.206666667,0,0,0.116666667,64.66666667,0.8,1.883333333,38.33333333,88,811.6666667,1.5,26.33333333,0.383333333,0.186666667,0.02,0.166666667,0.12,0.046666667,0,0
Fruit products and dishes,"Dried fruit, preserved fruit",Other dried fruit including mixed dried fruit,1167.714286,3.292857143,3.092857143,2.407142857,52,9.2,78,0.056285714,0.044285714,1.022857143,23.78571429,0.170714286,0,21.35714286,0.594285714,64.14285714,3.178571429,1.760714286,42.28571429,73.07142857,763.4285714,1.314285714,29.78571429,0.540714286,2.151428571,0.22,0.236428571,0.216428571,0.021428571,0,0
Fruit products and dishes,"Dried fruit, preserved fruit",Preserved fruit,764.5,1.875,0.2,0.2,39.675,4.625,3.5,0.11575,0.01,1.0075,33.5,0.0375,0,13.5,0.375,75,2.325,4.2525,56.25,46.25,341.75,1.05,4023.25,0.1675,0.0675,0.0425,0.02,0.02,0.0025,0,0
Fruit products and dishes,Mixed dishes where fruit is the major component,Mixed dishes where fruit is the major component,760.7142857,2.457142857,7.728571429,5.642857143,19.3,2.228571429,46.71428571,0.040571429,0.075857143,0.487142857,12.28571429,0.052857143,0.014285714,8.142857143,1.24,39.71428571,3.185714286,0.632857143,21.57142857,52.28571429,159.4285714,1.871428571,35.57142857,0.35,3.078571429,2.952857143,1.092857143,0.961428571,0.117142857,2.214571429,136.4085714
Fruit products and dishes,Mixtures of two or more groups of fruit,Mixtures of two or more groups of fruit,284.25,0.7875,0.203125,1.178125,13.484375,2.10625,40.21875,0.0268125,0.02771875,0.293125,20.15625,0.063125,0,18.9375,0.3128125,11.71875,0.58125,0.3078125,12.21875,16.78125,185.71875,0.509375,2.875,0.144375,0.0046875,0.0121875,0.0059375,0.005,0.0009375,0.00115625,0.1415625
Fruit products and dishes,Mixtures of two or more groups of fruit,"Mixtures of two or more groups of fruit, commercially sterile",234.6666667,0.546666667,0.08,0.006666667,12.16,1.4,51.73333333,0.015333333,0.0346,0.402,2.533333333,0.028666667,0,3.666666667,0.387333333,5.666666667,0.513333333,0.351333333,8.933333333,14.53333333,127.5333333,0.5,3.8,0.246666667,0,0,0,0,0,0,0
Fruit products and dishes,Other fruit,Other fruit,207.952381,0.99047619,0.180952381,0.504761905,9.461904762,2.223809524,21.9047619,0.024285714,0.024285714,0.358095238,20.19047619,0.040952381,0,23,0.312857143,16.9047619,0.633333333,0.262857143,11.66666667,17.80952381,219.4285714,0.642857143,17.85714286,0.136190476,0,0,0,0,0,0,0
Fruit products and dishes,Pome fruit,Apples,240.65,0.3,0.125,0.25,12.245,2.31,2.3,0.02135,0.01275,0.1045,5.9,0.0365,0,4.05,0.3335,4.75,0.965,0.133,4.3,8.2,97.55,0.495,1.25,0.0675,0,0,0,0,0,0,0
Fruit products and dishes,Pome fruit,"Apples, commercially sterile",239,0.3,0.2,0.3,11.9,2.3,2,0.018,0.012,0.12,7,0.03,0,2,0.26,5,0.4,0.14,4,8,89,0.5,1,0.07,0,0,0,0,0,0,0
Fruit products and dishes,Pome fruit,Other pome fruit,222,0.75,0.2,0,10.45,3.45,46,0.009,0.019,0.375,8.5,0.07,0,15.5,0.2,10,0.5,0.3,8,22,190,0.6,9,0.45,0,0,0,0,0,0,0
Fruit products and dishes,Pome fruit,Pears,259.1818182,0.309090909,0.009090909,0.045454545,10.91818182,3.2,2.545454545,0.019545455,0.032272727,0.073636364,6.636363636,0.025454545,0,4.363636364,0.315454545,6.363636364,0.5,0.136363636,6.909090909,11.81818182,112.0909091,0.545454545,1.727272727,0.103636364,0,0,0,0,0,0,0
Fruit products and dishes,Pome fruit,"Pears, commercially sterile",213.0769231,0.353846154,0,0,10.38461538,1.607692308,0,0,0.010692308,0.08,0.846153846,0.02,0,1,0.224615385,5.230769231,0.530769231,0.35,5.153846154,8.307692308,85.53846154,0.5,3.307692308,0.212307692,0,0,0,0,0,0,0
Fruit products and dishes,Stone fruit,Other stone fruit,241.1666667,0.75,0.116666667,0,11.21666667,2.033333333,28.83333333,0.0265,0.0345,0.806666667,2.166666667,0.038333333,0,9.5,0.386666667,12.33333333,1.683333333,0.248333333,7.333333333,21.66666667,225,0.2,1.5,0.115,0,0,0,0,0,0,0
Fruit products and dishes,Stone fruit,"Other stone fruit, commercially sterile",239,0.6,0.022222222,0.061111111,12.02777778,1.327777778,69.27777778,0.015055556,0.010166667,0.326111111,1.277777778,0.033333333,0,2.833333333,0.231666667,10.22222222,1.322222222,0.552777778,6.944444444,9.666666667,149.2777778,0.5,3.055555556,0.167222222,0,0,0,0,0,0,0
Fruit products and dishes,Stone fruit,Peaches and nectarines,212.6363636,1.027272727,0.1,0.045454545,10.01818182,1.972727273,12.18181818,0.011090909,0.03,1.05,0,0.02,0,9.727272727,0.720909091,7.272727273,1.309090909,0.220909091,7.818181818,22.18181818,221.1818182,0.436363636,1.272727273,0.111818182,0,0,0,0,0,0,0
Fruit products and dishes,Stone fruit,"Peaches and nectarines, commercially sterile",189.4615385,0.553846154,0.007692308,0,9.592307692,1.253846154,52.53846154,0,0.018615385,0.28,0.230769231,0.020769231,0,5.846153846,0.398461538,3.538461538,0.7,0.346153846,5.384615385,10.07692308,116.5384615,0.5,4.538461538,0.184615385,0,0,0,0,0,0,0
Fruit products and dishes,Tropical and subtropical fruit,Bananas,458.3333333,1.433333333,1.233333333,6.9,14.8,2.866666667,6.666666667,0.025666667,0.053666667,0.36,27.66666667,0.196666667,0,8.666666667,0.313333333,6.666666667,0.466666667,0.333333333,33.66666667,21.33333333,330.3333333,0.366666667,1.333333333,0.176666667,0.173333333,0.61,0.19,0.163333333,0.026666667,0.062,7.553333333
Fruit products and dishes,Tropical and subtropical fruit,"Other tropical and subtropical fruit, edible peel",181.4285714,1.2,0.214285714,0.4,7.357142857,2.828571429,58.71428571,0.029714286,0.039,0.415714286,10.28571429,0.188571429,0,17.42857143,0.337142857,23.28571429,0.685714286,0.62,11.57142857,13.85714286,161.4285714,0.428571429,6.571428571,0.191428571,0,0,0,0,0,0,0
Fruit products and dishes,Tropical and subtropical fruit,"Other tropical and subtropical fruit, inedible peel",245,1.216666667,0.3,0.2,10.45,4.025,80.58333333,0.027083333,0.055166667,0.69,29.33333333,0.104166667,0,49.25,0.411666667,17.16666667,0.466666667,0.393333333,14.91666667,25.33333333,188.0833333,0.666666667,7.416666667,0.395833333,0.016666667,0.014166667,0.026666667,0.01,0,0,0
Fruit products and dishes,Tropical and subtropical fruit,Pineapples,178,0.6,0.2,0,8.2,1.8,3,0.055,0.015,0.05,18,0.11,0,17,0.02,20,0.5,0.25,16,5,151,0.5,2,0.1,0,0,0,0,0,0,0
Fruit products and dishes,Tropical and subtropical fruit,"Tropical and subtropical fruit, commercially sterile",276.9,0.69,0.25,0.05,13.94,2.26,39.2,0.0407,0.0239,0.337,7.1,0.06,0,9.4,0.153,6.2,0.51,0.355,12.5,13.3,123.1,0.51,4.3,0.2,0,0,0,0,0,0,0
Fruit products and dishes,Wild harvested fruits (NATSINPAS),Wild harvested fruits,408,4.05,1.2,0,12.2,9.1,15,0.06,0.059,0.275,10.5,0.11,0,22,1.8,58.5,0.5,3.525,41.5,42.5,393,0.4,121,0.565,0.295,0.2,0.49,0.215,0.255,0,0
Infant formulae and foods,Infant cereal products,Infant cereals,909,4.55,1.9,44.35,0,0.95,0,0.072,0.0055,2.28,10.5,0.13,0,14.5,0.805,4.5,0.6,11.445,22.5,117,48,6.8,10.5,0.75,0.41,0.345,0.845,0.82,0.02,0,0
Infant formulae and foods,Infant cereal products,Infant rusks,1476,17.5,0.6,60.2,5.8,5,0,0.64,0.08,4.1,16,0.14,0.1,0,0.37,54,1.5,22.4,66,180,299,13.4,330,1.2,0.09,0.07,0.24,0.23,0.01,0,0.16
Infant formulae and foods,Infant drinks,Infant fruit juices,74,0.15,0,0,3.9,0.3,3,0.0035,0.026,0.17,13,0.01,0,6,0.04,4,1.9,0.05,4,4.5,63.5,0.4,3.5,0.015,0,0,0,0,0,0,0
Infant formulae and foods,Infant foods,Infant custards or yoghurts,297,1,2.1,5.2,7.1,0,8,0.05,0.21,0,2,0,0,0,0.04,150,12.5,0.05,10,116,162,3,20,0.39,1.38,0.5,0.05,0.03,0.02,1.488,69.46
Infant formulae and foods,Infant foods,Infant fruit and fruit-based desserts,258,0.5,0.1,0.9,11.2,2.7,32,0.017,0.025,0.16,9,0.04,0,5,0.37,6,0.4,0.17,8,11,126,0.5,1,0.1,0,0,0,0,0,0,0
Infant formulae and foods,Infant foods,"Infant savoury dishes, commercial",234,4.2,0.8,3.9,2.7,1.9,257,0.033,0.037,1.17,20,0.07,0.1,7,0.46,20,0.8,0.47,14,55,257,3.6,64,0.61,0.18,0.29,0.1,0.07,0.01,6.736,16.19
Infant formulae and foods,Infant formulae and human breast milk,Human breast milk,286,1.3,4.2,0,6.8,0,61,0.014,0.036,0.18,5,0.01,0,5,0.08,32,22.3,0.03,3,14,51,1.8,17,0.17,1.79,1.5,0.5,0.37,0.05,15.478,70.25
Infant formulae and foods,Infant formulae and human breast milk,"Infant formula, prepared",264,1.8,2.9,0,7.9,0,78,0.06,0.14,0.65,27,0.04,0.2,11,0.65,73,12,1,6,52,79,2,26,0.6,1.25,1.11,0.405,0.33,0.06,4.1585,0
Infant formulae and foods,Infant formulae and human breast milk,"Toddler formula, prepared",278.6666667,2.2,2.733333333,1.466666667,7.166666667,0.033333333,35.66666667,0.096666667,0.166666667,0.816666667,33,0.113333333,0.333333333,6.333333333,0.916666667,103.6666667,16,1.2,10.66666667,68.66666667,139,1.2,35.33333333,0.49,1.046666667,0.95,0.596666667,0.486666667,0.083333333,9.754666667,17.20666667
Legume and pulse products and dishes,Mature legume and pulse products and dishes,Dishes where mature legumes are the major component,571.3125,5.75625,4.25625,10.76875,5.55625,4.15625,143.4375,0.088375,0.0601875,0.85625,39.25,0.119375,0,9.125,1.066875,39.75,1.90625,1.33375,26.375,80.5625,228.4375,2.99375,182.4375,0.69125,0.683125,1.955625,1.23875,1.07125,0.165,0.306,28.42375
Legume and pulse products and dishes,Mature legume and pulse products and dishes,Legume and pulse products,645.6,11.43,2.24,11.57,5.16,6.09,5.5,0.1137,0.1106,0.626,95.1,0.142,0.03,1.1,0.537,54.9,13.45,2.31,61.5,172.5,559.8,4.34,617.3,0.926,0.376,0.529,1.014,0.857,0.153,2.0169,3.538
Legume and pulse products and dishes,Mature legumes and pulses,Mature legumes and pulses,880.2,16.17,2.8,19.1,2.37,10.77,3.65,0.2811,0.1064,1.3985,165.2,0.275,0,0.7,0.7925,60.05,0.46,3.942,83.75,248.5,726.25,8.175,16.2,1.847,0.412,0.4835,1.543,1.248,0.2965,0,12.9225
Legume and pulse products and dishes,Mature legumes and pulses,"Mature legumes and pulses, commercially sterile",407.5,7.6,1.675,6.9375,1.3875,6.5125,5.625,0.076125,0.077,0.70625,79,0.1275,0,4.25,0.5675,40.875,0.5375,1.92875,35.625,144.125,264.5,3.35,314.125,0.96375,0.2725,0.33625,0.7825,0.655,0.12625,0,10.98375
"Meat, poultry and game products and dishes","Beef, sheep and pork, unprocessed",Beef,857.0842491,25.90732601,11.19047619,0.126739927,0.022344322,0.019047619,5.996336996,0.033388278,0.129699634,3.599047619,2,0.140805861,1.407692308,0.655677656,0.88952381,6.293040293,1.246886447,2.160622711,24.04029304,219.1465201,337.5311355,10.96190476,54.62637363,4.705421245,4.214102564,5.146373626,0.709230769,0.427106227,0.103809524,72.30987179,464.8251282
"Meat, poultry and game products and dishes","Beef, sheep and pork, unprocessed",Lamb and mutton,990.6376812,24.25748792,15.50531401,0.223188406,0.038164251,0.017874396,12.8115942,0.099154589,0.219971014,5.223768116,13.06763285,0.173816425,1.622705314,0.004830918,0.579565217,8.15942029,0.694202899,2.213913043,24.76811594,223.3333333,290.173913,14.26811594,61.66666667,3.997294686,6.275507246,6.056328502,1.137922705,0.592270531,0.267294686,120.547942,1073.410821
